Booking_Lead_Time,Fare_Class,Seats_Available,Seats_Booked,Competitor_Price,Fuel_Price,Public_Holiday,Weather_Impact
242,1,174,118,590,1.27,0,0
88,1,157,139,413,2.61,0,0
249,1,145,89,146,2.04,0,0
352,2,275,123,650,1.04,0,2
311,1,280,240,523,3.01,0,3
76,1,237,76,1006,3.31,0,2
14,1,110,80,527,1.71,0,0
88,2,131,113,900,3.04,0,0
105,1,161,160,34,3.4,0,0
87,1,107,91,1024,1.77,0,3
329,0,316,180,722,3.46,0,0
152,0,372,93,820,0.66,0,0
362,0,185,51,317,1.1,1,0
10,1,123,70,807,2.03,0,0
332,1,319,220,712,0.75,0,2
309,1,212,66,719,1.16,0,0
231,1,307,210,492,0.73,0,0
331,1,238,58,408,2.34,0,0
28,1,184,128,388,2.72,0,3
276,0,132,86,1003,2.06,0,0
232,1,284,236,813,3.34,0,0
97,1,394,51,426,1.34,0,2
174,1,300,242,41,1.41,0,0
230,1,176,123,925,2.42,0,2
175,1,306,231,951,1.25,0,0
298,1,154,115,533,1.44,1,0
15,2,165,94,1035,3.28,0,0
50,1,168,150,1087,1.93,0,0
339,1,167,50,952,1.2,1,0
326,0,389,54,1132,1.95,0,0
57,0,212,205,766,2.1,0,0
159,1,141,134,467,2.38,0,0
73,1,259,224,260,2.96,0,0
287,1,368,283,333,2.08,0,3
105,2,107,68,907,1.35,0,0
161,0,348,264,759,2.16,1,2
81,1,376,155,819,1.37,0,3
8,1,157,142,229,0.5,0,0
3,0,150,95,1077,3.49,1,3
14,1,231,70,124,2.62,0,0
345,1,108,56,938,0.73,0,0
324,2,356,116,877,2.91,0,2
280,1,333,85,996,3.37,0,0
363,1,292,225,263,1.07,0,3
362,0,258,205,1037,1.38,0,0
340,1,178,80,778,2.78,0,3
113,1,208,97,308,2.63,1,2
213,1,320,229,1125,3.33,0,0
56,0,243,162,885,2.36,1,3
324,0,276,228,295,3.43,0,0
357,1,151,56,151,1.58,1,0
318,0,215,155,715,3.39,1,0
158,0,219,70,444,2.48,1,0
21,1,229,156,192,0.97,0,0
313,2,377,309,570,3.02,0,3
330,1,360,313,264,3.31,0,3
143,1,133,64,428,2.12,0,0
44,1,276,100,123,1.49,0,3
324,1,156,118,408,0.69,0,0
321,1,288,284,245,2.78,0,0
39,1,308,186,854,2.9,0,3
210,1,245,149,69,3.04,1,0
59,2,185,127,292,2.74,0,0
197,1,149,138,719,2.43,0,0
205,1,277,200,580,1.17,0,0
50,1,215,128,33,1.47,1,3
15,1,370,156,1045,3.1,1,3
244,2,107,60,599,1.45,0,0
139,1,130,89,441,2.51,0,2
319,1,343,310,303,2.88,0,1
334,0,214,166,1117,1.36,0,0
121,1,255,198,1017,3.43,0,0
27,1,101,89,257,2.45,0,0
263,1,398,299,1165,2.34,0,3
2,1,102,75,1117,1.55,1,0
101,1,286,231,219,2.78,0,0
251,0,151,73,1024,0.65,0,0
74,2,175,55,941,1.37,0,0
351,1,223,164,396,3.03,0,2
102,1,284,240,294,1.33,0,2
139,1,270,241,385,3.01,0,0
201,1,214,175,394,2.67,1,0
236,2,379,144,1121,0.56,0,3
260,1,111,64,284,1.42,0,0
81,0,310,170,892,0.71,1,2
357,1,197,154,1240,1.63,1,0
40,0,383,98,245,1.92,0,0
225,0,134,104,232,3.44,0,0
211,2,228,72,163,1.03,0,0
203,1,231,59,527,2.19,1,0
168,0,257,158,365,2.62,0,1
337,1,390,331,836,2.6,0,0
355,0,313,141,461,0.89,1,0
95,1,263,112,714,2.94,1,0
33,1,336,122,601,0.71,0,0
288,2,185,158,322,0.95,0,0
85,1,352,334,458,0.99,0,0
275,1,214,164,30,1.93,1,0
57,1,263,114,22,1.79,1,0
101,2,366,276,201,0.51,0,0
195,1,280,168,136,1.71,0,0
262,0,344,120,933,1.15,1,0
363,1,116,105,307,3.29,0,0
287,1,144,115,49,2.21,1,2
10,1,163,110,1247,1.72,0,0
34,1,311,125,781,0.98,0,0
29,1,216,135,875,0.63,0,2
62,1,304,256,142,2.64,0,0
82,1,310,309,215,1.33,0,2
96,1,373,291,813,1.62,0,2
108,2,246,73,1087,0.9,0,0
342,1,336,308,359,0.83,0,0
273,1,363,234,459,2.95,0,0
118,1,192,107,744,1.17,0,0
149,1,326,53,1106,2.07,0,0
115,1,243,173,598,1.64,0,0
115,1,177,148,136,3.45,0,2
350,0,296,152,833,1.44,0,0
163,1,394,358,1197,2.02,0,0
338,1,196,88,1021,0.66,0,3
146,0,312,199,838,0.83,1,0
74,1,389,92,355,1.85,0,2
40,0,143,130,146,1.39,0,0
258,1,138,126,425,3.27,0,0
139,1,205,103,571,0.88,0,0
35,2,394,240,485,1.44,0,0
274,2,239,168,336,1.92,0,0
76,1,130,114,973,0.5,0,1
161,1,261,87,541,2.22,0,0
155,1,340,339,1196,3.13,0,0
270,1,370,232,737,1.41,1,0
83,1,134,129,738,2.45,0,0
173,1,189,184,1021,1.91,0,2
134,1,390,249,790,1.22,1,0
210,1,146,101,824,0.96,0,0
6,1,125,69,32,1.95,0,0
25,0,303,127,671,2.37,0,0
82,1,180,158,52,1.65,0,0
202,1,174,143,89,0.71,0,0
339,2,338,119,172,1.17,0,0
84,0,183,102,998,2.4,0,0
154,1,287,87,1190,1.95,0,0
293,0,151,77,983,0.82,0,2
12,1,395,104,189,0.95,0,2
155,0,246,50,848,2.68,0,0
252,2,236,170,-10,3.14,0,0
295,0,282,178,495,0.91,0,0
28,2,392,290,453,2.8,1,0
193,1,308,185,566,2.68,0,0
183,1,386,160,445,0.88,0,0
240,0,187,96,917,2.12,0,0
45,1,348,104,244,2.47,0,0
187,0,392,234,729,3.0,0,2
